month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202102,54037,"jefferson, wv",332450,-0.0765,0.0392,55,-0.1667,-0.6605,80,0.194029851,-0.024390244,44,0.1,-0.3529,8,0,,8,0,-0.8182,142,0.0758,1.2903,154.2557318,-0.0576,0.1479,2042.5,-0.0906,-0.0962,395897.0545,-0.0361,0.1457,197,-0.0051,-0.1205,2.581818182,0.5818,2.1991
202102,48439,"tarrant, tx",351729.5,0.0266,0.1923,1345,-0.1956,-0.6383,34.5,-0.178571429,-0.31,1412,0.0173,-0.3402,192,-0.3846,0.1707,188,-0.5053,-0.8687,3044,0.1469,0.0263,167.9612963,0.0561,0.2306,2180,-0.0014,-0.0113,545662.915,0.1114,0.3579,4389,0.0146,-0.3435,2.263197026,0.6759,1.4657
202102,37085,"harnett, nc",257900,-0.0268,0.0613,180,-0.1,-0.5714,22.5,-0.575471698,-0.642857143,160,0.1429,-0.1837,8,-0.3333,0,20,-0.2857,-0.6875,399,0.1875,0.5647,127.9756756,0.0304,0.1518,1851.5,-0.0981,-0.1183,275474.692,0.0146,0.1327,579,0.0802,-0.1422,2.216666667,0.5367,1.6095
202102,50027,"windsor, vt",349450,0.0589,-0.0293,214,-0.112,-0.6206,121.5,0.021008403,-0.380102041,68,0.0625,-0.1905,0,-1,-1,20,0,-0.4444,159,0.0671,0.2422,179.1408223,0.008,0.0892,1962.5,-0.0188,-0.0734,606597.8421,0.1246,0.1173,373,-0.0436,-0.461,0.742990654,0.1247,0.516
202102,16019,"bonneville, id",380000,0,0.2881,75,0,-0.5989,44.5,-0.364285714,-0.011111111,88,0.1,-0.12,8,0,1,16,0.3333,-0.7333,18,1.5714,1.25,159.2193757,-0.0462,0.4505,1950,0.0833,-0.2948,398268.0195,0.0186,-0.003,93,0.1341,-0.5231,0.24,0.1467,0.1972
202102,22089,"st. charles, la",259499.5,-0.0019,0.1287,52,-0.0545,-0.1186,52,0.209302326,-0.395348837,24,-0.25,0,0,,,12,-0.4,-0.4,64,0.1636,-0.0154,135.2173208,0.002,0.0855,2000,0.0173,0.1662,315172.9305,0.0772,0.0854,116,0.0545,-0.0645,1.230769231,0.2308,0.1291
202102,8037,"eagle, co",572500,-0.1673,-0.2835,610,-0.0454,-0.3646,156.5,-0.027950311,-0.171957672,96,-0.04,-0.3514,8,1,0,48,-0.0769,-0.4545,288,0.1707,,468.9070064,-0.0612,0.1742,1700,0.0053,-0.0379,2810381.158,0.0361,0.3021,898,0.0147,-0.0646,0.472131148,0.0872,0.4721
202102,48441,"taylor, tx",238261,0.0415,0.045,146,-0.3482,-0.692,53,0.104166667,-0.242857143,92,0,-0.439,0,-1,,28,-0.4615,-0.7667,326,0.2256,0.3145,112.8470274,-0.0168,-0.0648,1936.5,0.0473,0.0065,288020.6954,0.0492,0.1146,472,-0.0367,-0.3463,2.232876712,1.0454,1.7097
202102,12119,"sumter, fl",312400,-0.0083,0.0417,339,-0.189,-0.2533,50.5,-0.2109375,0.01,164,-0.0238,-0.0682,16,0.3333,1,136,-0.1707,-0.0811,371,0.2972,0.1703,189.4800387,0.011,0.0455,1707.5,-0.0164,0.0134,361598.4833,0.0102,0.0313,710,0.0085,-0.0791,1.09439528,0.4102,0.3962
202102,51003,"albemarle, va",589900,0.0261,0.1026,209,-0.1255,-0.5217,89,-0.118811881,-0.26446281,92,0.15,-0.425,36,2,1.25,8,-0.6667,-0.8462,389,0.2468,0.231,228.1538772,0.0527,0.1599,2596,-0.0031,-0.0313,947056.8381,0.0749,0.3042,598,0.0853,-0.2058,1.861244019,0.5558,1.1381
202102,51760,"richmond city, va",307450,-0.0682,0.0639,202,-0.1101,-0.3897,32.5,-0.419642857,-0.244186047,220,0.4103,0,32,0.1429,3,48,-0.2,-0.4,554,0.1991,0.3545,197.7363817,-0.0265,0.1904,1686,-0.0393,-0.0299,425886.2818,-0.0533,0.1512,756,0.0972,0.0216,2.742574257,0.7073,1.5069
202102,55025,"dane, wi",422500,0.0565,0.0977,379,-0.154,-0.5588,37,-0.471428571,-0.447761194,412,0.3205,-0.2746,16,0.3333,0,36,-0.25,-0.7429,784,0.3243,-0.0175,202.1805271,0.0398,0.1569,2013.5,0.0443,-0.0375,543711.9581,0.0572,0.1675,1163,0.1183,-0.2981,2.068601583,0.7472,1.1396
202102,4027,"yuma, az",257500,0.0729,0.0962,166,-0.0514,-0.6982,28,-0.391304348,-0.621621622,132,0.2692,-0.3529,4,0,-0.8889,20,0,-0.8333,299,0.0833,0.4238,163.9631961,-0.0078,0.1915,1577,0.0267,-0.0557,312150.4602,-0.0052,0.1937,465,0.031,-0.3882,1.801204819,0.2241,1.4194
202102,36079,"putnam, ny",427000,-0.0067,0.0675,747,-0.0544,0.3316,322.5,0.108247423,2.324742268,84,-0.1923,-0.4324,0,,,28,-0.3636,-0.7667,213,-0.0362,5.6563,215.6870957,-0.0005,0.0859,2075,-0.0072,0.0192,661470.7512,0.0121,0.131,960,-0.0504,0.6189,0.285140562,0.0054,0.2281
202102,39007,"ashtabula, oh",144150,0.0052,0.0304,109,-0.2378,-0.6267,80.5,0.133802817,-0.233333333,40,-0.0909,-0.4118,0,,,20,-0.1667,-0.6429,128,0.2075,0.094,99.09511393,0.038,0.2908,1413,0,-0.0561,204623.1357,0.0821,0.2229,237,-0.0482,-0.4205,1.174311927,0.4331,0.7736
202102,18157,"tippecanoe, in",331250,0.0384,0.1506,57,-0.2875,-0.6902,32,-0.36,-0.085714286,56,-0.125,-0.6,0,,,12,-0.4,-0.7,49,0.0426,0.5806,129.4248768,0.0582,0.0606,2320.5,0.062,0.0313,389258.9711,0.0928,0.2483,106,-0.1654,-0.507,0.859649123,0.2721,0.6912
