ControlQ_NoKidsQ1_1,N0to5yrold,N6to11yrold,N12to17yrold,Ep_Q1_l1,Ep_Q1_l2,Ep_Q1_l3,Quota_Childfocus0to5,Quota_Childfocus_6to11,Quota_Childfocus_12to17,Gender,Sibling_order,Parent_gender,Parent_birthyear_MISSING,Parent_birthyear,Eductaion_scale,Household_income,Region_of_residence,Access_smartphone,Access_tablet,Access_TV,Access_PCconsole,Access_other,Wor_presence,Wor_time_w_friends,Wor_WHO5_rested,Wor_WHO5_activityandenergy,Wor_WHO5_interestingdays,Wor_delayed_gratification,Wor_empathy,Wor_imagination,Wor_PLAY_imaginary,Wor_play_free_play,Wor_physical_activity_health,Q11_PLAY_physical,Wor_WHO5_happiness_mood,Wor_concentrate,Wor_creativity,Wor_learning_school_care,Wor_PLAY_object,Worr_play_adultinitiated,Wor_PLAY_rulebased,Wor_motorskills,Wor_attention,Wor_WHO5_calm_relaxation,Wor_resilience,Wor_self_discipline,Wor_socialskills,Wor_social_relations,Wor_sleep,Wor_language,Wor_stress,Wor_PLAY_symbolic,Wor_time_family,Wor_time_creativity,Wor_time_leisure_activities,Wor_time_schoolwork,Wor_conflicts_at_home,Wor_addiction,Wor_bullying,Wor_loneliness,Wor_somethingelse,Freetext_worry,Freetext_worry_string,WORRY_general,problem_smartphone,problem_ipad,problem_tv,problem_comp,problem_forælder_skærmfb,Parent_action_LIMIT_Q16,Parent_action_SUPPORT_Q17,forælder_begrænse,forælder_støtte,forælder_egne_skærme,forælder_tid_opmærksomhed,skærmtid_regler,skærmtid_regler_TXT,Agency_Uncertainty_Q19,Agency_Lack_of_information_Q20,Agency_screens_positive_functionQ21,Max_1Q22_1_resp,Max_Q22_2_resp,Max_Q22_3_resp,Max_Q22_4_resp,Max_Q22_5_resp,Max_Q22_6_resp,neuromyte_1_F,neuromyte_2_S,neuromyte_3_S,neuromyte_4_F,neuromyte_5_F,neuromyte_6_F,neuromyte_7_S,neuromyte_8_S,neuromyte_9_F,neuromyte_10_F,neuromyte_11_S,neuromyte_2_S_correct,neuromyte_3_S_correct,neuromyte_7_S_correct,neuromyte_8_S_correct,neuromyte_11_S_correct,Neuromyte_1_F_correct,Neuromyte_4_F_correct,neuromyte_5_F_correct,neuromyte_6_F_correct,neuromyte_9_F_correct,neuromyte_10_F_correct,Neuromyths_correct,True_Neuromyths_correct,False_Neuromyths_correct,False_neuromyths_believed,Maximization,Play_focus,Age_group,N_children,Oldest_child,Education_collegelevel_yn,Parent_age,Worry_level
0,0,1,0, ,1, ,0,1,0,1,3,1,1,1973,2,12,3,0,0,0,0,1,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,6,5,4,5,6,5,4,5,5,5,4,6,5,5,5,5,4,4,5,5,5, ,1,Sociale samvær,3, , , , ,1, , ,2,1,2,1,1,3 timer,6,5,5,2,3,2,2,4,4,2,2,1,1,1,2,2,2,1,2,1,0,1,0,0,1,1,0,0,1,0,1,.454545454545455,.4,.5,.5,2.83333333333333,4.8,2,1,2,1,45,2
0,0,0,1, , ,2,0,0,1,2,3,2,1,1974,5,7,1,1,1,1,1,0,6,5,5,5,6,5,5,4,1,3,6,5,5,5,4,2,1,1,1,5,5,4,6,6,5,5,6,5,6,3,6,4,5,5,5,6,5,6, ,1,"Skærmtid går ud over børns selvværd pga sociale medier,.
De sociale medier kan både øge og ødelægge kontakten til kammerater.
De sociale medier skaber et falsk billede af kammeraters sociale liv.
De sociale medier inspirerer også til kreativitet og alternative aktiviteter.
Skærmtid i skolen øger læring i undervisningen - hvis lærerne forstår at bruge det.
Risikoen for mobning via sociale medier øges pga muligheden for hurtig reaktion (sker inden tanken om selvbeherskelsen) samt den anonymiserede kontakt - mobberen ser ikke offeret i øjnene, serr ikke reaktionen.",5,2,1,4,4,4, , ,2,4,3,5,2, ,2,1,5,3,5,3,6,3,1,2,1,2,2,1,1,1,1,2,1,1,1,0,1,1,1,1,1,0,0,1,0,.636363636363636,.8,.5,.5,3.5,2.2,3,1,3,2,44,4
0,0,0,1, , ,2,0,0,1,1,3,2,1,1969,6,12,4,1,1,1,1,0,5,1,5,6,3,2,5,3,5,4,5,4,5,2,5,3,2,1,2,2,4,4,3,6,4,2,5,1,3,6,4,5,2,6,6,6,2,2, ,1,samvær med den ældre generation f.eks. bedsteforældre,6,2,2,1,5,5, , ,2,1,2,5,2, ,2,5,4,2,4,2,4,4,2,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,0,.818181818181818,1,.666666666666667,.333333333333333,3,3.8,3,1,3,2,49,5
0,0,1,0, ,1, ,0,1,0,1,3,1,1,1952,6,7,3,0,1,1,1,0,2,2,4,4,2,3,3,2,3,3,3,3,2,2,2,2,3,4,4,2,2,4,3,3,2,2,2,2,3,1,4,2,3,2,2,3,2,2, ,1,øjne,4, ,3,3,3,3, , ,6,4,3,3,1,"1. højst 45 min ad gangen, 2. pligter først",2,2,5,4,3,3,4,3,1,2,1,2,2,1,1,1,1,2,1,1,1,0,1,1,1,1,1,0,0,1,0,.636363636363636,.8,.5,.5,3,2.8,2,1,2,2,66,3
0,0,1,0, ,1, ,0,1,0,2,2,1,1,1995,7,7,1,1,1,1,0,0,2,2,4,3,4,4,2,2,2,3,2,3,2,1,2,1,4,3,4,2,2,2,1,1,2,2,2,1,2,2,1,2,2,1,2,4,2,3, ,1,"Øger ønske om indkøb af dyre, brand produkter - dvs. fornemmelse af rimelighed i forbrug",4,3,1,3, ,2, , ,4,5,6,6,1,Ikke  bruge skærm hvis man har hovedpine,3,4,5,2,2,2,1,3,1,2,1,2,2,1,1,1,1,2,1,2,1,0,1,1,0,1,1,0,0,1,0,.545454545454545,.6,.5,.5,1.83333333333333,3,2,1,2,2,23,3
0,1,1,0,1,2, ,0,1,0,1,1,1,1,1984,6,9,2,1,1,1,1,0,5,4,5,5,4,5,5,5,5,6,6,6,4,4,5,1,6,2,5,6,6,3,5,3,5,6,5,2,3,5,6,6,3,2,3,6,5,4, ,1,Opmærksomhed på omgivelserne,5,1,3,5,2,2, , ,6,5,3,2,1,Ingen mobil eller ipad en time før sengetid. Varigheden af hvor længe man må spille.,2,2,4,2,2,3,3,5,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,0,0,0,1,.636363636363636,1,.333333333333333,.666666666666667,2.66666666666667,5.4,2,2,2,2,34,4
0,0,0,1, , ,1,0,0,1,2,3,2,1,1964,5,3,4,1,1,1,1,0,4,1,1,1,1,2,1,1,1,3,2,4,2,4,1,1,1,1,1,1,1,5,1,2,1,2,1,1,5,1,4,1,2,3,4,4,2,2, ,1,"nakke, skuldre og hænder - på sigt altså om 20 år måske",5,1,2,3,3,1, , ,2,1,2,4,1,Ingen skærme om natten - altså ingen sms hverken sende eller læse,1,2,2,1,4,5,5,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,.545454545454545,1,.166666666666667,.833333333333333,3.5,1.6,3,1,3,2,54,4
0,0,0,1, , ,2,0,0,1,1,1,2,1,1974,5,8,1,1,1,1,1,0,4,4,6,6,6,2,1,1,4,6,6,6,5,2,2,1,1,5,6,4,4,5,4,5,5,2,6,1,4,6,4,2,6,5,1,6,1,6, ,1,Nærværende samvær medforældre og dermed læring af afkodning ift sociale relationer,7,4,1,1,6,2, , ,5,5,1,1,1,"2 timer pr dag, inden jeg kommer hjem. Der kan jeg alligevel ikke forhindre det",1,6,4,1,1,4,1,1,1,1,2,2,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,.272727272727273,.6,0,1,1.5,4.6,3,1,3,2,44,6
0,0,0,1, , ,1,0,0,1,2,4,2,1,1982,2,6,4,1,1,1,1,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6, ,1,"Nærvær, konfliktløsning,aflæse andre mennesker generelt,en fri barndom uden en evig strøm af krav og stimuli samt konstant “narko til beløningscentret i hjernen der får fix på få sek konstant foran en skærm! Tvivler på det er sundt på noget måde for en hjerne der ikke engang er færdig udviklet",7,6,6,4,6,5, , ,5,3,4,5,1,"Da hun var mindre havde vi mediefri dage, hvor både tv ipaid, tlf og com var slukket fordi det er nærmest som narko for min datter hun bliver udreagerede hvis man bad hende slukke når hun brugte det ret meget mere end 1-2 timer meget lettere sur osv ved brug af elektronik, samt tlf skulle lægge i gangen hver aften 1 time før sengetid for ellers fik hun ikke sovet frygter hun bliver 18 og vi ikke må bestemme over de ting mere burde være hjælp til forældre at få hjælp til at hjælpe deres børn ud af den afhæninghed fordi teenager blæser på alt hvad forældre siger fra 15-18 årige generelt evt før også",1,6,2,1,5,3,2,1,1,1,1,2,2,1,1,2,1,1,2,2,1,0,0,1,0,0,1,0,0,0,1,.363636363636364,.4,.333333333333333,.666666666666667,2.16666666666667,6,3,1,3,1,36,6
0,0,1,0, ,2, ,0,1,0,1,1,2,1,1979,5,8,1,1,1,1,1,0,4,4,6,5,6,5,4,6,5,6,6,6,5,6,6,5,6,5,6,6,6,6,5,6,5,6,5,6,6,5,6,5,5,6,5,6,4,6, ,1,"Motivation for ""rigtige "" ting som leg og natur oplevelser",6,3,6,3,6,4, , ,6,5,6,5,1,Vi har spille fri dage og uger,2,3,2,3,1,4,5,4,4,1,1,2,2,2,1,1,2,1,1,1,1,0,1,0,1,0,1,1,0,0,0,.454545454545455,.6,.333333333333333,.666666666666667,3.5,5.6,2,1,2,2,39,5
