RegionID,SizeRank,RegionName,RegionType,StateName,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31
394753,64,"Knoxville, TN",Msa,TN,4729.0,4398.0,4378.0,4261.0,4603.0,4888.0,4929.0,5018.0,5333.0,5307.0,5121.0,5158.0,4765.0,4262.0,4328.0,4255.0,4563.0,4747.0,4818.0,4920.0,4817.0,4856.0,4764.0,4857.0,4627.0,4084.0,4095.0,3905.0,4068.0,3905.0,4048.0,3889.0,3602.0,3424.0,3420.0,3645.0,3333.0,2918.0,3001.0
394653,65,"Greenville, SC",Msa,SC,6731.0,5929.0,6313.0,6177.0,6770.0,6955.0,6952.0,6916.0,7041.0,6992.0,6696.0,6739.0,6328.0,5737.0,6038.0,5869.0,6610.0,6690.0,7156.0,7669.0,7917.0,7977.0,7739.0,7518.0,6913.0,6339.0,6608.0,6508.0,6678.0,6662.0,6716.0,6289.0,6246.0,5895.0,5490.0,5468.0,4805.0,4535.0,4505.0
394952,66,"Ventura, CA",Msa,CA,1783.0,1499.0,1560.0,1650.0,1912.0,2093.0,2350.0,2488.0,2602.0,2697.0,2627.0,2577.0,2317.0,2010.0,2073.0,2061.0,2317.0,2444.0,2640.0,2710.0,2771.0,2598.0,2400.0,2280.0,2077.0,1658.0,1766.0,1850.0,1911.0,1793.0,2060.0,2119.0,2099.0,1917.0,1833.0,1773.0,1500.0,1228.0,1246.0
394318,67,"Allentown, PA",Msa,PA,4204.0,3654.0,3582.0,3537.0,3769.0,4153.0,4448.0,4677.0,4718.0,4643.0,4615.0,4679.0,4248.0,3686.0,3690.0,3562.0,3818.0,4114.0,4245.0,4344.0,4364.0,4289.0,4148.0,4077.0,3610.0,3150.0,3113.0,2954.0,2921.0,2249.0,2805.0,3276.0,3117.0,2933.0,2997.0,3032.0,2581.0,2270.0,2146.0
394561,68,"El Paso, TX",Msa,TX,4544.0,4533.0,4525.0,4640.0,4708.0,4542.0,4408.0,4304.0,4308.0,4161.0,4057.0,4117.0,4007.0,3719.0,3799.0,3772.0,3837.0,3837.0,3724.0,4020.0,4025.0,3958.0,3859.0,3938.0,3774.0,3623.0,3715.0,3922.0,3871.0,3674.0,3649.0,3459.0,3195.0,3208.0,3029.0,3058.0,2316.0,2262.0,2310.0
394367,69,"Baton Rouge, LA",Msa,LA,4186.0,4008.0,4205.0,4376.0,4750.0,4950.0,5195.0,5487.0,5509.0,5415.0,5173.0,5269.0,5101.0,4743.0,4945.0,5029.0,5340.0,5494.0,5508.0,5696.0,5728.0,5761.0,5535.0,5438.0,5172.0,4868.0,5054.0,5075.0,5240.0,4919.0,5079.0,4875.0,4672.0,4409.0,4101.0,4062.0,3723.0,3528.0,3644.0
394521,70,"Dayton, OH",Msa,OH,3159.0,2796.0,2703.0,2768.0,3001.0,3177.0,3279.0,3442.0,3533.0,3591.0,3631.0,3674.0,3340.0,2910.0,2702.0,2575.0,2767.0,2711.0,2809.0,3010.0,3025.0,2990.0,2929.0,2930.0,2622.0,2247.0,2285.0,2144.0,2308.0,2155.0,2205.0,2204.0,2254.0,2250.0,2302.0,2408.0,2067.0,1795.0,1731.0
394843,71,"McAllen, TX",Msa,TX,2283.0,2262.0,2330.0,2313.0,2469.0,2437.0,2458.0,2414.0,2400.0,2530.0,2498.0,2612.0,2548.0,2459.0,2734.0,2774.0,2798.0,2724.0,2729.0,2731.0,2734.0,2711.0,2668.0,2710.0,2629.0,2502.0,2628.0,2684.0,2678.0,2517.0,2541.0,2256.0,2087.0,1940.0,"",1834.0,1821.0,1858.0,1850.0
394486,72,"Columbia, SC",Msa,SC,6449.0,6085.0,5859.0,5703.0,6266.0,6417.0,6316.0,6419.0,6421.0,6325.0,5727.0,5794.0,5565.0,4961.0,5141.0,4990.0,5294.0,5298.0,5642.0,6264.0,6589.0,6488.0,6153.0,5954.0,5573.0,5273.0,5635.0,5316.0,5591.0,5188.0,5281.0,4751.0,4510.0,"","",4044.0,3457.0,3236.0,3188.0
394648,73,"Greensboro, NC",Msa,NC,3114.0,2842.0,2768.0,2876.0,3091.0,3311.0,3667.0,3383.0,3460.0,2896.0,2690.0,2761.0,2611.0,2327.0,2469.0,2387.0,2627.0,2655.0,2772.0,2852.0,2952.0,2917.0,2846.0,2777.0,2598.0,2297.0,2318.0,2279.0,2418.0,2284.0,2473.0,2328.0,2235.0,2116.0,2163.0,2238.0,1985.0,1807.0,1838.0
394304,74,"Akron, OH",Msa,OH,4433.0,3843.0,3715.0,3704.0,4126.0,4457.0,4673.0,4782.0,4870.0,4854.0,4593.0,4444.0,4053.0,3383.0,3208.0,3197.0,3546.0,3818.0,4299.0,4476.0,4568.0,4501.0,4430.0,4332.0,3943.0,3500.0,3264.0,3151.0,3415.0,2993.0,3173.0,3303.0,3368.0,3330.0,3188.0,3097.0,2754.0,2257.0,2229.0
753906,75,"North Port-Sarasota-Bradenton, FL",Msa,FL,9742.0,9716.0,11248.0,11697.0,12156.0,11973.0,10956.0,10380.0,9789.0,9401.0,9144.0,9817.0,10319.0,10320.0,12104.0,12255.0,12645.0,11894.0,11021.0,10816.0,10145.0,9653.0,9285.0,9686.0,9990.0,9745.0,11220.0,11474.0,11049.0,9945.0,9987.0,9372.0,8812.0,8354.0,7882.0,8238.0,7412.0,6812.0,6766.0
394798,76,"Little Rock, AR",Msa,AR,5291.0,4841.0,5019.0,4861.0,5306.0,5775.0,5958.0,6084.0,6115.0,6143.0,5987.0,5937.0,5638.0,5125.0,5222.0,5298.0,5605.0,5816.0,5191.0,5196.0,5153.0,4992.0,5322.0,5275.0,4891.0,4587.0,4575.0,4666.0,4933.0,4716.0,4853.0,4822.0,4834.0,4688.0,4317.0,4293.0,3455.0,2935.0,2906.0
395134,77,"Stockton, CA",Msa,CA,1478.0,1225.0,1265.0,1294.0,1457.0,1571.0,1766.0,1806.0,1912.0,2128.0,2088.0,2078.0,1948.0,1626.0,1609.0,1615.0,1744.0,1877.0,1980.0,2161.0,2220.0,2214.0,2229.0,2170.0,1927.0,1625.0,1513.0,1526.0,1609.0,1463.0,1619.0,1577.0,1434.0,1374.0,1394.0,1367.0,1089.0,911.0,907.0
394457,78,"Charleston, SC",Msa,SC,6071.0,5588.0,5749.0,6091.0,6748.0,6944.0,7159.0,7130.0,6831.0,6752.0,6257.0,6807.0,6508.0,5931.0,6348.0,6525.0,7110.0,7258.0,7430.0,7754.0,7578.0,7491.0,6968.0,7258.0,6634.0,6131.0,6526.0,6524.0,6689.0,6409.0,6875.0,6522.0,6168.0,5777.0,5430.0,5796.0,4975.0,4341.0,4314.0
395143,79,"Syracuse, NY",Msa,NY,2882.0,2534.0,2369.0,2322.0,2566.0,2830.0,3003.0,3226.0,3438.0,3437.0,3262.0,3085.0,2745.0,2377.0,2220.0,2171.0,2377.0,2564.0,2717.0,2842.0,2943.0,2959.0,2851.0,2757.0,2311.0,1945.0,1862.0,1768.0,1765.0,1520.0,1757.0,1993.0,1963.0,1965.0,1960.0,1863.0,1505.0,1292.0,1332.0
394484,80,"Colorado Springs, CO",Msa,CO,2106.0,1714.0,1882.0,1950.0,2337.0,2871.0,3449.0,3714.0,4044.0,3984.0,3795.0,3606.0,3226.0,2659.0,2573.0,2465.0,2782.0,3145.0,3628.0,4024.0,4046.0,4089.0,3797.0,3582.0,3011.0,2548.0,2557.0,2532.0,3124.0,2937.0,3699.0,4000.0,4011.0,3808.0,3519.0,3507.0,2765.0,2278.0,2413.0
395235,81,"Winston-Salem, NC",Msa,NC,2819.0,2532.0,2464.0,2636.0,3037.0,3240.0,3594.0,3303.0,3467.0,2936.0,2767.0,2792.0,2599.0,2203.0,2244.0,2299.0,2634.0,2707.0,2773.0,2747.0,2796.0,2764.0,2772.0,2752.0,2555.0,2247.0,2399.0,2338.0,2622.0,2357.0,2358.0,2220.0,2175.0,2091.0,2052.0,2170.0,1902.0,1703.0,1743.0
