RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31
102001,0,United States,Country,"",1428492.0,1385978.0,1443278.0,1530545.0,1632459.0,1706310.0,1757706.0,1782596.0,1771716.0,1751484.0,1694674.0,1597816.0,1509807.0,1461332.0,1507991.0,1574607.0,1667087.0,1738836.0,1783386.0,1793813.0,1774845.0,1744834.0,1671453.0,1555421.0,1451910.0,1401857.0,1427497.0,1414964.0,1436500.0,1435812.0,1460707.0,1431283.0,1386313.0,1349094.0,1275155.0,1170810.0,1080975.0
394913,1,"New York, NY",Msa,NY,68791.0,68342.0,72850.0,79763.0,85778.0,90327.0,92456.0,91982.0,90771.0,90002.0,87770.0,82553.0,77335.0,75100.0,78746.0,84531.0,91384.0,96092.0,97744.0,96295.0,94584.0,92606.0,89127.0,82148.0,75842.0,73530.0,75864.0,73515.0,71703.0,71306.0,77650.0,81942.0,83753.0,83202.0,80137.0,73780.0,67540.0
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,20163.0,19985.0,21941.0,23861.0,25830.0,27431.0,29141.0,30220.0,30760.0,30979.0,30452.0,28679.0,27039.0,26202.0,27502.0,28793.0,30480.0,31407.0,32100.0,31935.0,31392.0,30410.0,28375.0,25154.0,22388.0,21333.0,21875.0,21554.0,21975.0,22977.0,25034.0,26018.0,26405.0,26381.0,25314.0,23001.0,20822.0
394463,3,"Chicago, IL",Msa,IL,42733.0,41078.0,44701.0,49225.0,53714.0,56060.0,57945.0,58913.0,58747.0,58009.0,55307.0,50544.0,45900.0,44149.0,47155.0,52103.0,56954.0,60099.0,61446.0,61952.0,61656.0,60639.0,57415.0,51980.0,47244.0,45896.0,47745.0,47671.0,48059.0,48601.0,51138.0,51811.0,50978.0,49814.0,46711.0,41967.0,37399.0
394514,4,"Dallas-Fort Worth, TX",Msa,TX,24286.0,23206.0,24350.0,26756.0,29547.0,31964.0,33927.0,35095.0,35145.0,34284.0,33054.0,31091.0,29614.0,28934.0,30483.0,32443.0,34879.0,37288.0,39348.0,40400.0,39827.0,38694.0,36951.0,34549.0,32344.0,31443.0,32131.0,32259.0,33230.0,33803.0,34687.0,33509.0,31436.0,30384.0,28897.0,27091.0,24839.0
394974,5,"Philadelphia, PA",Msa,PA,26335.0,24892.0,25909.0,28185.0,30487.0,31649.0,31365.0,30518.0,29780.0,29656.0,29132.0,27635.0,25987.0,24895.0,25934.0,27663.0,29571.0,30601.0,31046.0,30512.0,29763.0,28798.0,27603.0,25437.0,23184.0,22051.0,22081.0,20889.0,20538.0,20715.0,22104.0,22264.0,21580.0,21060.0,19973.0,18214.0,16600.0
394692,6,"Houston, TX",Msa,TX,33654.0,32798.0,34445.0,36546.0,39431.0,41147.0,42481.0,42927.0,42174.0,41124.0,39542.0,37865.0,36837.0,36524.0,38138.0,39747.0,41883.0,44139.0,46008.0,47063.0,46198.0,44836.0,42925.0,40951.0,39631.0,39429.0,40536.0,40646.0,41347.0,41141.0,41138.0,39405.0,37415.0,35841.0,33810.0,31678.0,30153.0
395209,7,"Washington, DC",Msa,DC,22245.0,20966.0,22550.0,25918.0,28874.0,29054.0,27815.0,26299.0,25918.0,25763.0,24905.0,22603.0,19829.0,18162.0,19316.0,21674.0,24436.0,25870.0,26093.0,25227.0,24553.0,24105.0,23038.0,20480.0,18123.0,17168.0,18364.0,18858.0,19492.0,19156.0,19472.0,19127.0,19066.0,19106.0,18435.0,16624.0,14797.0
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,60882.0,62502.0,65593.0,66880.0,67347.0,65802.0,64396.0,63294.0,62741.0,63257.0,63922.0,64413.0,65887.0,67851.0,70721.0,71243.0,70870.0,69287.0,67731.0,65970.0,64398.0,63830.0,63482.0,63102.0,63366.0,64137.0,65159.0,63074.0,61825.0,61121.0,61744.0,60962.0,59890.0,59594.0,58687.0,57217.0,""
394347,9,"Atlanta, GA",Msa,GA,32600.0,31367.0,32581.0,34103.0,35881.0,37543.0,39178.0,40360.0,40134.0,39607.0,38399.0,36620.0,35196.0,36023.0,37885.0,39728.0,40806.0,42642.0,44152.0,45014.0,44930.0,44640.0,43227.0,40973.0,39148.0,38445.0,39541.0,39894.0,41313.0,41554.0,41535.0,39831.0,37623.0,36064.0,33784.0,31206.0,28484.0
